Student_ID,Age,Gender,Maths,Science,English,Attendance,Study_Hours,Sports,Result
94,22,Female,47,50,81,89.5,1.2,No,Fail
95,22,Male,57,42,86,63.3,6.8,No,Pass
96,22,Male,64,38,90,84.1,,Yes,Pass
97,18,Female,51,38,49,69.8,3.3,No,Pass
98,20,Female,96,90,63,75.6,6.2,No,Pass
99,22,Female,47,59,42,71.5,2.1,No,Pass
100,21,Female,93,61,39,74.2,6.7,Yes,Pass
101,23,Female,53,66,63,88.8,6.8,No,Pass
102,18,Male,83,84,81,71.9,4.6,No,Pass
103,18,Male,46,95,79,82.7,1.0,Yes,Pass
104,20,Female,95,85,36,79.0,3.0,Yes,Pass
105,18,Female,53,53,61,86.5,5.3,No,Pass
106,18,Male,43,55,70,97.5,7.9,Yes,Pass
107,22,Male,62,39,70,89.3,5.4,No,Pass
108,20,Female,86,76,60,68.6,2.8,No,Fail
109,22,Male,50,95,77,61.2,5.4,Yes,Pass
110,23,Male,46,56,61,70.5,4.8,No,Pass
111,24,Male,59,55,54,83.8,6.5,No,Pass
112,23,Female,86,35,45,62.1,1.7,No,Pass
113,24,Female,87,39,72,79.9,6.3,Yes,Pass
114,22,Male,57,46,40,83.9,4.8,No,Pass
115,23,Female,50,80,57,73.4,7.7,Yes,Pass
116,20,Male,91,68,81,90.8,3.4,Yes,Pass
117,17,Male,73,83,80,64.3,5.4,No,Pass
118,22,Female,87,79,46,63.0,7.5,Yes,Pass
119,24,Female,76,61,47,89.1,1.7,No,Fail
120,21,Female,92,60,96,79.8,7.6,Yes,Pass
121,24,Female,73,81,94,87.5,5.8,No,Pass
122,21,Female,48,90,77,77.4,1.5,Yes,Pass
123,18,Male,39,97,39,69.9,3.1,No,Pass
124,23,Male,69,82,71,92.8,6.0,No,Pass
125,21,Male,52,95,65,92.0,1.5,Yes,Pass
126,24,Male,43,60,43,87.8,5.1,Yes,Fail
127,18,Female,92,70,85,70.9,3.4,Yes,Pass
128,17,Male,51,35,63,83.6,5.3,No,Pass
129,20,Female,41,42,74,74.4,1.3,Yes,Pass
130,20,Female,80,86,75,63.7,7.1,No,Pass
131,20,Female,47,81,45,96.7,7.8,No,Pass
132,21,Male,74,90,57,65.5,7.8,Yes,Pass
133,17,Female,76,48,35,98.0,6.2,No,Pass
134,21,Male,43,62,80,77.8,1.9,No,Fail
135,23,Male,84,36,55,67.4,6.3,Yes,Pass
136,21,Female,61,60,70,81.7,1.2,Yes,Pass
137,17,Male,100,48,88,94.9,1.2,Yes,Pass
138,17,Male,39,93,91,89.3,3.3,No,Pass
139,23,Female,63,90,35,92.3,4.4,No,Pass
140,17,Male,71,41,97,86.4,6.4,No,Pass
141,24,Female,72,37,88,87.7,5.8,No,Pass
142,17,Female,42,57,89,94.0,4.1,No,Pass
143,20,Female,99,52,74,70.0,2.9,No,Pass
144,24,Male,51,72,49,79.6,8.0,No,Pass
145,24,Male,79,49,55,68.8,4.0,Yes,Fail
146,23,Female,38,98,81,99.5,4.2,Yes,Pass
147,19,Male,70,62,87,97.8,2.1,Yes,Pass
148,19,Female,65,73,43,61.6,6.6,Yes,Pass
149,17,Female,53,91,86,88.2,5.9,No,Pass
150,24,Female,95,51,91,97.0,2.5,No,Pass
151,19,Male,88,78,60,67.2,1.6,Yes,Fail
152,19,Male,73,59,75,82.7,5.8,Yes,Pass
153,17,Female,53,51,69,96.6,5.6,No,Pass
154,19,Male,73,47,97,61.4,2.9,No,Pass
155,21,Male,79,59,59,87.9,7.7,Yes,Pass
156,18,Female,47,44,72,71.9,2.1,No,Pass
157,23,Female,92,52,36,97.0,4.0,Yes,Pass
158,18,Female,54,68,41,98.8,7.6,Yes,Fail
159,17,Female,95,42,68,97.8,3.9,No,Pass
160,20,Male,73,74,51,79.0,5.5,No,Pass
161,23,Female,35,76,77,94.5,3.8,Yes,Pass
162,17,Female,37,75,93,93.8,2.9,No,Pass
163,24,Male,96,40,85,72.8,7.9,No,Pass
164,20,Male,97,86,88,93.2,3.9,No,Pass
165,18,Female,59,60,58,61.5,7.3,No,Pass
166,17,Female,90,98,59,83.9,2.6,No,Pass
167,24,Female,67,93,86,69.2,2.5,No,Pass
168,23,Female,72,90,67,64.8,1.2,No,Pass
169,23,Male,40,93,83,63.1,5.6,Yes,Fail
170,22,Male,92,67,63,87.9,3.6,Yes,Pass
171,24,Female,78,87,97,73.6,7.1,Yes,Pass
172,21,Female,79,56,56,89.0,4.3,No,Pass
173,19,Female,66,55,60,62.6,7.8,Yes,Fail
174,20,Female,79,38,62,72.6,2.3,No,Fail
175,24,Male,95,96,83,81.6,7.1,No,Pass
176,22,Male,81,96,83,91.6,6.4,Yes,Pass
177,19,Female,55,58,54,72.8,6.4,No,Pass
178,19,Female,70,89,97,85.0,6.9,No,Pass
179,17,Female,53,43,95,95.4,6.3,No,Pass
180,19,Female,54,37,83,84.6,5.4,Yes,Pass
181,21,Female,91,65,35,69.3,1.9,No,Pass
182,23,Male,52,74,47,61.0,1.2,No,Pass
183,22,Male,81,70,85,94.8,7.4,No,Pass
184,19,Male,83,58,90,60.9,5.3,No,Pass
185,17,Female,48,40,96,95.0,6.6,No,Pass
186,21,Male,49,100,66,81.2,4.4,No,Pass
187,18,Male,65,38,64,97.6,1.8,No,Pass
188,23,Male,35,40,63,92.0,1.9,No,Pass
189,23,Male,88,85,83,99.9,5.8,Yes,Pass
190,22,Female,37,96,79,74.0,4.0,No,Fail
191,23,Male,50,91,64,90.7,2.4,No,Pass
192,19,Male,91,100,50,76.1,4.4,No,Pass
193,17,Female,46,42,74,79.2,1.4,Yes,Pass
194,23,Male,50,60,53,85.1,5.1,No,Pass
195,23,Male,58,85,52,94.9,2.9,Yes,Pass
196,18,Male,62,79,35,99.4,6.6,No,Pass
197,18,Female,42,78,81,90.7,3.2,Yes,Fail
198,20,Male,70,39,100,76.7,4.2,No,Pass
199,21,Female,42,60,72,76.9,1.1,No,Fail
200,19,Male,92,53,85,89.5,1.5,Yes,Fail
11,19,Male,53,47,67,88.6,3.7,Yes,Pass
11,19,Male,53,47,67,88.6,3.7,Yes,Pass
26,22,Male,98,45,43,94.2,5.5,Yes,Pass
